model_key,relation_key,n_hall,n_refusal,n_total,hall_rate,behavior_metric,linearity_score,n_train,n_test,subject_layer,object_layer,hidden_state_subject_index,hidden_state_object_index,dataset
gemma_7b_it,company_ceo,14,186,200,0.07,hallucination_rate,0.4027990704041456,223,75,14,26,15,27,SyntHal
gemma_7b_it,company_hq,77,123,200,0.385,hallucination_rate,0.5899294711417709,505,169,14,26,15,27,SyntHal
gemma_7b_it,landmark_in_country,163,37,200,0.815,hallucination_rate,0.7481843690658686,627,209,14,26,15,27,SyntHal
gemma_7b_it,landmark_on_continent,173,27,200,0.865,hallucination_rate,0.8246669281927428,710,237,14,26,15,27,SyntHal
gemma_7b_it,person_father,8,192,200,0.04,hallucination_rate,0.4374286202603847,743,248,14,26,15,27,SyntHal
gemma_7b_it,person_mother,0,200,200,0.0,hallucination_rate,0.4055178433027442,745,249,14,26,15,27,SyntHal
gemma_7b_it,person_occupation,107,93,200,0.535,hallucination_rate,0.7497993870876819,615,206,14,26,15,27,SyntHal
gemma_7b_it,person_plays_instrument,199,1,200,0.995,hallucination_rate,0.7940110360610797,384,129,14,26,15,27,SyntHal
gemma_7b_it,person_plays_position_in_sport,197,3,200,0.985,hallucination_rate,0.7781704503409173,714,238,14,26,15,27,SyntHal
gemma_7b_it,person_plays_pro_sport,195,5,200,0.975,hallucination_rate,0.8210438561941075,238,80,14,26,15,27,SyntHal
gemma_7b_it,person_university,29,171,200,0.145,hallucination_rate,0.6488178350418946,68,23,14,26,15,27,SyntHal
gemma_7b_it,product_by_company,182,18,200,0.91,hallucination_rate,0.7302725943876083,391,131,14,26,15,27,SyntHal
gemma_7b_it,star_constellation,193,7,200,0.965,hallucination_rate,0.7448474555446416,271,91,14,26,15,27,SyntHal
gemma_7b_it,superhero_archnemesis,200,0,200,1.0,hallucination_rate,0.4583037843316046,72,24,14,26,15,27,SyntHal
gemma_7b_it,superhero_person,169,31,200,0.845,hallucination_rate,0.4872394232908748,75,25,14,26,15,27,SyntHal
llama3_1_8b_instruct,company_ceo,1,199,200,0.005,hallucination_rate,0.5264820672369297,223,75,16,30,17,31,SyntHal
llama3_1_8b_instruct,company_hq,2,198,200,0.01,hallucination_rate,0.7209460786171593,505,169,16,30,17,31,SyntHal
llama3_1_8b_instruct,landmark_in_country,154,46,200,0.77,hallucination_rate,0.7806240062939425,627,209,16,30,17,31,SyntHal
llama3_1_8b_instruct,landmark_on_continent,121,79,200,0.605,hallucination_rate,0.81881316071209,710,237,16,30,17,31,SyntHal
llama3_1_8b_instruct,person_father,5,195,200,0.025,hallucination_rate,0.4886919429643757,743,248,16,30,17,31,SyntHal
llama3_1_8b_instruct,person_mother,5,195,200,0.025,hallucination_rate,0.464830571829115,745,249,16,30,17,31,SyntHal
llama3_1_8b_instruct,person_occupation,141,59,200,0.705,hallucination_rate,0.8031017116701883,615,206,16,30,17,31,SyntHal
llama3_1_8b_instruct,person_plays_instrument,65,135,200,0.325,hallucination_rate,0.815441149564639,384,129,16,30,17,31,SyntHal
llama3_1_8b_instruct,person_plays_position_in_sport,24,176,200,0.12,hallucination_rate,0.8419199543262547,714,238,16,30,17,31,SyntHal
llama3_1_8b_instruct,person_plays_pro_sport,36,164,200,0.18,hallucination_rate,0.8291230805460323,238,80,16,30,17,31,SyntHal
llama3_1_8b_instruct,person_university,18,182,200,0.09,hallucination_rate,0.6694244885082449,68,23,16,30,17,31,SyntHal
llama3_1_8b_instruct,product_by_company,31,169,200,0.155,hallucination_rate,0.7744295927312469,391,131,16,30,17,31,SyntHal
llama3_1_8b_instruct,star_constellation,5,195,200,0.025,hallucination_rate,0.7494317740844645,271,91,16,30,17,31,SyntHal
llama3_1_8b_instruct,superhero_archnemesis,0,200,200,0.0,hallucination_rate,0.510826143509583,72,24,16,30,17,31,SyntHal
llama3_1_8b_instruct,superhero_person,6,194,200,0.03,hallucination_rate,0.5745610251540723,75,25,16,30,17,31,SyntHal
mistral_7b_instruct,company_ceo,8,192,200,0.04,hallucination_rate,0.4594821638238734,223,75,16,30,17,31,SyntHal
mistral_7b_instruct,company_hq,175,25,200,0.875,hallucination_rate,0.6327178529753611,505,169,16,30,17,31,SyntHal
mistral_7b_instruct,landmark_in_country,169,31,200,0.845,hallucination_rate,0.7412074206797108,627,209,16,30,17,31,SyntHal
mistral_7b_instruct,landmark_on_continent,125,75,200,0.625,hallucination_rate,0.7773768162344281,710,237,16,30,17,31,SyntHal
mistral_7b_instruct,person_father,12,188,200,0.06,hallucination_rate,0.4442035500411187,743,248,16,30,17,31,SyntHal
mistral_7b_instruct,person_mother,9,191,200,0.045,hallucination_rate,0.4245476092541797,745,249,16,30,17,31,SyntHal
mistral_7b_instruct,person_occupation,93,107,200,0.465,hallucination_rate,0.7547059552145247,615,206,16,30,17,31,SyntHal
mistral_7b_instruct,person_plays_instrument,194,6,200,0.97,hallucination_rate,0.7672166413092533,384,129,16,30,17,31,SyntHal
mistral_7b_instruct,person_plays_position_in_sport,130,70,200,0.65,hallucination_rate,0.7699522164641337,714,238,16,30,17,31,SyntHal
mistral_7b_instruct,person_plays_pro_sport,176,24,200,0.88,hallucination_rate,0.8184956242398208,238,80,16,30,17,31,SyntHal
mistral_7b_instruct,person_university,31,169,200,0.155,hallucination_rate,0.5741462889185338,68,23,16,30,17,31,SyntHal
mistral_7b_instruct,product_by_company,170,30,200,0.85,hallucination_rate,0.7346766676198898,391,131,16,30,17,31,SyntHal
mistral_7b_instruct,star_constellation,77,123,200,0.385,hallucination_rate,0.6891693928499162,271,91,16,30,17,31,SyntHal
mistral_7b_instruct,superhero_archnemesis,58,142,200,0.29,hallucination_rate,0.4319022019511251,72,24,16,30,17,31,SyntHal
mistral_7b_instruct,superhero_person,12,188,200,0.06,hallucination_rate,0.5150375478674858,75,25,16,30,17,31,SyntHal
qwen2_5_7b_instruct,company_ceo,90,110,200,0.45,hallucination_rate,0.386550254023895,223,75,14,26,15,27,SyntHal
qwen2_5_7b_instruct,company_hq,195,5,200,0.975,hallucination_rate,0.477417524457252,505,169,14,26,15,27,SyntHal
