task,control_set,controls,n,base_adj_r2,plus_linearity_adj_r2,adj_r2_gain,beta_linearity,p_linearity,note
synthetic_unknown_hallucination_rate,top1_gold_share,top1_gold_share,60,0.5157516728220926,0.6460240992572459,0.13027242643515335,1.5264218816463506,1.0113380020386571e-05,
synthetic_unknown_hallucination_rate,normalized_gold_entropy,normalized_gold_entropy,60,0.5156906990990517,0.6462208974303858,0.13053019833133406,1.487541645680239,1.4311211951007828e-06,
synthetic_unknown_hallucination_rate,log_unique_object_n,log_unique_object_n,60,0.5833043373279991,0.646050566290158,0.06274622896215887,1.5024329360779798,0.022137642681198014,
synthetic_unknown_hallucination_rate,effective_object_n_log,log_effective_object_n,60,0.6136462522338951,0.6463282312883059,0.032681979054410726,1.4140827936351443,0.08822499997901545,
synthetic_unknown_hallucination_rate,top1_plus_entropy,"top1_gold_share,normalized_gold_entropy",60,0.5158023727973486,0.639833335938113,0.12403096314076434,1.5084331670366118,1.41614860599318e-05,
synthetic_unknown_hallucination_rate,log_unique_plus_entropy,"log_unique_object_n,normalized_gold_entropy",60,0.5918644084442881,0.6395684553128558,0.04770404686856766,1.4646503808649471,0.03194691174220198,
natural_hallucination_plausibility_rate,top1_gold_share,top1_gold_share,64,0.14934170432965033,0.44145542973305096,0.29211372540340064,0.8950730649671873,1.4746912366383858e-08,
natural_hallucination_plausibility_rate,normalized_gold_entropy,normalized_gold_entropy,64,0.16172255856735807,0.43480940881702224,0.27308685024966417,0.8451819392698305,2.3199690844837307e-09,
natural_hallucination_plausibility_rate,log_unique_object_n,log_unique_object_n,64,0.30718127056211386,0.4303872172104132,0.12320594664829931,0.7419490964164448,0.010316880465018767,
natural_hallucination_plausibility_rate,effective_object_n_log,log_effective_object_n,64,0.36046189179679644,0.43055514234128833,0.07009325054449189,0.7220656616519359,0.05321224729991904,
natural_hallucination_plausibility_rate,top1_plus_entropy,"top1_gold_share,normalized_gold_entropy",64,0.15326670644658025,0.43227804925190916,0.2790113428053289,0.8868146092560729,2.6111175167410514e-08,
natural_hallucination_plausibility_rate,log_unique_plus_entropy,"log_unique_object_n,normalized_gold_entropy",64,0.3118246024536375,0.42506324205081136,0.11323863959717384,0.8227824863451254,0.00829732140164272,
